Title,Company,Location,Experience,Post_Date,Today,Summary,Salary,Url,Portal
Lead Solutions Engineer - PS,Gainsight,Hyderabad/Secunderabad,4-7 Yrs,30+ Days Ago,08/09/2022,Ideal years of experience: 4-7 years Preferable work hours: EMEA Timezone (3pm - 11pm I...,Not disclosed,https://www.naukri.com/job-listings-lead-solutions-engineer-ps-gainsight-inc-hyderabad-secunderabad-4-to-7-years-100122500621,Naukri
QA Lead.Copy Link,Zaggle Save,Hyderabad/Secunderabad,5-8 Yrs,30+ Days Ago,08/09/2022,"Role and Responsibilities Work closely with the product team which includes PM, Designe...",Not disclosed,https://www.naukri.com/job-listings-qa-lead-copy-link-zaggle-save-hyderabad-secunderabad-5-to-8-years-091121500806,Naukri
Full Stack Developer.Copy Link,Zaggle Save,Hyderabad/Secunderabad,2-5 Yrs,30+ Days Ago,08/09/2022,We are looking for Full Stack Software Developers to build and implement our products. ...,Not disclosed,https://www.naukri.com/job-listings-full-stack-developer-copy-link-zaggle-save-hyderabad-secunderabad-2-to-5-years-091121500799,Naukri
Dot Net WebAPI,Sahasya Global Solutions,Hyderabad,4-6 Yrs,30+ Days Ago,08/09/2022,"Proficient understanding of code versioning tools, such as TFSLocation Hyderabad Experi...",Not disclosed,https://www.naukri.com/job-listings-dot-net-webapi-sahasya-global-solutions-hyderabad-secunderabad-4-to-6-years-090919501163,Naukri
Teacher,ARISE SOFTWARE SOLUTIONS,Hyderabad,1-4 Yrs,30+ Days Ago,08/09/2022,Qualification: Any Graduate with B.Ed or PGExperience: 1 to 3yrsSalary: Negotiable,Not disclosed,https://www.naukri.com/job-listings-teacher-arise-software-solutions-hyderabad-secunderabad-1-to-4-years-090718500600,Naukri
Physics Teacher,ARISE SOFTWARE SOLUTIONS,Hyderabad,1-4 Yrs,30+ Days Ago,08/09/2022,Qualification: Any Graduate with B.Ed or PGExperience: 1 to 3yrs,Not disclosed,https://www.naukri.com/job-listings-physics-teacher-arise-software-solutions-hyderabad-secunderabad-1-to-4-years-090718500599,Naukri
Teachers,ARISE SOFTWARE SOLUTIONS,Hyderabad,1-4 Yrs,30+ Days Ago,08/09/2022,Qualification: Any Graduate with B.Ed or PGExperience: 1 to 3yrsSalary: NegotiableLocat...,Not disclosed,https://www.naukri.com/job-listings-teachers-arise-software-solutions-hyderabad-secunderabad-1-to-4-years-090718500597,Naukri
Product Trainer,Mee 2 Bee Smart Services,Hyderabad/Secunderabad,6-9 Yrs,30+ Days Ago,08/09/2022,Certification of Employees on Product Knowledge Training,Not disclosed,https://www.naukri.com/job-listings-product-trainer-mee-2-bee-smart-services-hyderabad-secunderabad-6-to-9-years-090622500198,Naukri
Reporting Specialist II,Hirebridge LLC,Hyderabad/Secunderabad,2-3 Yrs,30+ Days Ago,08/09/2022,"Reporting Specialist II At Skillsoft, we are all about making work matter. We believe e...",Not disclosed,https://www.naukri.com/job-listings-reporting-specialist-ii-hirebridge-llc-hyderabad-secunderabad-2-to-3-years-090522501554,Naukri
Accounts Manager,HUSYS CONSULTING LIMITED,Hyderabad,2-6 Yrs,30+ Days Ago,08/09/2022,"Should maintain end-to-end tracker of all the invoices, disputes, receipts, outstanding...",Not disclosed,https://www.naukri.com/job-listings-accounts-manager-husys-consulting-limited-hyderabad-secunderabad-2-to-6-years-090217500014,Naukri
Accounts Manager,HUSYS CONSULTING LIMITED,Hyderabad,3-7 Yrs,30+ Days Ago,08/09/2022,Roles & Responsibilities Description Key Competencies 1. Understand the format of the r...,Not disclosed,https://www.naukri.com/job-listings-accounts-manager-husys-consulting-limited-hyderabad-secunderabad-3-to-7-years-090217500013,Naukri
UI Developer,PNRG Solutions Pvt Ltd,Hyderabad/Secunderabad,2-6 Yrs,30+ Days Ago,08/09/2022,PNRG is looking for a Web Application UI Developer with Extensive experience in JavaScr...,Not disclosed,https://www.naukri.com/job-listings-ui-developer-pnrg-solutions-pvt-ltd-hyderabad-secunderabad-2-to-6-years-080722010597,Naukri
Java Full Stack Developer,PNRG Solutions Pvt Ltd,Hyderabad/Secunderabad(Madhapur),2-5 Yrs,30+ Days Ago,08/09/2022,"Proficient in at least one modern JavaScript framework Svelte, Angular, or Vue Able to ...",Not disclosed,https://www.naukri.com/job-listings-java-full-stack-developer-pnrg-solutions-pvt-ltd-hyderabad-secunderabad-2-to-5-years-080722010327,Naukri
Python Developer,Kanerika Software,,,30+ Days Ago,08/09/2022,"strong middle tier applicationMust have Experience in pySpark, numPy, Pandas and other ...",Not disclosed,https://www.naukri.com/job-listings-python-developer-kanerika-software-private-limited-hyderabad-secunderabad-ahmedabad-4-to-9-years-080722002053,Naukri
Tableau Developer,Anantha Cybertech Pvt Ltd,Hyderabad,5-10 Yrs,30+ Days Ago,08/09/2022,"Extensive experience in Tableau Desktop, Tableau Server and Tableau Reader in various v...",Not disclosed,https://www.naukri.com/job-listings-tableau-developer-anantha-cybertech-pvt-ltd-hyderabad-secunderabad-5-to-10-years-080620500328,Naukri
Informatica Developer,Anantha Cybertech Pvt Ltd,Hyderabad,5-10 Yrs,30+ Days Ago,08/09/2022,"Any Graduate Skills : Working experience with relational database, such as Oracle, SQL ...",Not disclosed,https://www.naukri.com/job-listings-informatica-developer-anantha-cybertech-pvt-ltd-hyderabad-secunderabad-5-to-10-years-080620500284,Naukri
Python Developers,Tetrasoft,Hyderabad/Secunderabad,3-7 Yrs,30+ Days Ago,08/09/2022,"Strong experience with data analysis, governance, with excellent analytical and problem...",Not disclosed,https://www.naukri.com/job-listings-python-developers-tetrasoft-india-pvt-ltd-hyderabad-secunderabad-3-to-7-years-071021500315,Naukri
Java Developer/Tech leads,Jocata,Hyderabad,8-12 Yrs,30+ Days Ago,08/09/2022,"Requirements: Should have exceptional knowledge in Core java: OOPS, Collection Framewor...",Not disclosed,https://www.naukri.com/job-listings-java-developer-tech-leads-jocata-financial-advisory-and-technology-hyderabad-secunderabad-8-to-12-years-071020500302,Naukri
Principal Engineering Manager,Microsoft,Hyderabad/Secunderabad,16-19 Yrs,30+ Days Ago,08/09/2022,"You should be comfortable working in a start-up like / v1 effort, enjoy incrementally m...",Not disclosed,https://www.naukri.com/job-listings-principal-engineering-manager-microsoft-india-r-and-d-pvt-ltd-hyderabad-secunderabad-16-to-19-years-070722500042,Naukri
Software Engineer II,Microsoft,Hyderabad/Secunderabad,2-5 Yrs,30+ Days Ago,08/09/2022,Experience using scalable data ingestion and transformation systems in batch and near r...,Not disclosed,https://www.naukri.com/job-listings-software-engineer-ii-microsoft-india-r-and-d-pvt-ltd-hyderabad-secunderabad-2-to-5-years-070722500040,Naukri
PRODUCT ENGINEER,MySmartPrice.com?,Hyderabad,2-7 Yrs,30+ Days Ago,08/09/2022,Job Responsibilities: Design and build scalable products handing large amounts of data ...,Not disclosed,https://www.naukri.com/job-listings-product-engineer-mysmartprice-com-hyderabad-secunderabad-2-to-7-years-070516500324,Naukri
Product Marketing Manager,OpsRamp,Hyderabad/Secunderabad,3-9 Yrs,30+ Days Ago,08/09/2022,Strong background in SaaS and enterprise software - experience with IT Operations and /...,Not disclosed,https://www.naukri.com/job-listings-product-marketing-manager-opsramp-hyderabad-secunderabad-3-to-9-years-070422500596,Naukri
PHP Developer,goViralll Media,Hyderabad,3-4 Yrs,30+ Days Ago,08/09/2022,"To perform a mix of maintenance, enhancements, and new development as required Good und...",Not disclosed,https://www.naukri.com/job-listings-php-developer-goviralll-media-hyderabad-secunderabad-3-to-4-years-061120500749,Naukri
Regional Manager Communication,DSM Shared Services,,,30+ Days Ago,08/09/2022,"The Employee Comms Chapter is the eyes, ears, and voice of the organization. They are r...",Not disclosed,https://www.naukri.com/job-listings-regional-manager-communication-dsm-shared-services-hyderabad-secunderabad-5-to-10-years-060722006116,Naukri
Database Developer,CVM Solutions,Hyderabad/Secunderabad,2-6 Yrs,30+ Days Ago,08/09/2022,The database developer will work as a part of the CVM Data Product team providing techn...,Not disclosed,https://www.naukri.com/job-listings-database-developer-cvm-solutions-hyderabad-secunderabad-2-to-6-years-060522500446,Naukri
Software Developer - Analytics & BI,Golechha Capital,Hyderabad,3-8 Yrs,30+ Days Ago,08/09/2022,"Masters / PGP in Statistics, Computer Science, Applied Mathematics, Data Analytics, Bus...",Not disclosed,https://www.naukri.com/job-listings-software-developer-analytics-bi-golechha-capital-hyderabad-secunderabad-3-to-8-years-060220500932,Naukri
Production Shift Supervisor,PBC TechPlast Private Limited,Hyderabad,2-5 Yrs,30+ Days Ago,08/09/2022,reporting results of the processing flow on shift production summariesProduction Shift ...,Not disclosed,https://www.naukri.com/job-listings-production-shift-supervisor-pbc-techplast-private-limited-hyderabad-secunderabad-2-to-5-years-051118501050,Naukri
Sales Manager,Seven Consultancy,Hyderabad,3-8 Yrs,30+ Days Ago,08/09/2022,JOB DETAILS 1) Drive overall sales and growth at Regional level by meticulous planning ...,Not disclosed,https://www.naukri.com/job-listings-sales-manager-seven-consultancy-hyderabad-secunderabad-3-to-8-years-050620500900,Naukri
Key Account Manager,Seven Consultancy,Hyderabad,2-7 Yrs,30+ Days Ago,08/09/2022,"Sound computer skills, especially in the areas of MS Word, MS Excel and MS PowerPoint G...",Not disclosed,https://www.naukri.com/job-listings-key-account-manager-seven-consultancy-hyderabad-secunderabad-2-to-7-years-050620500896,Naukri
Database Performance Architect,Vertafore,Hyderabad/Secunderabad,8-13 Yrs,30+ Days Ago,08/09/2022,"Meet database availability, and reliability goals and service level objectives Skills/R...",Not disclosed,https://www.naukri.com/job-listings-database-performance-architect-vertafore-hyderabad-secunderabad-8-to-13-years-050422501445,Naukri
Power BI,Diverse Lynx,Hyderabad,3-7 Yrs,30+ Days Ago,08/09/2022,"In this role, you should have a background in data and business analysisYou should be a...",Not disclosed,https://www.naukri.com/job-listings-power-bi-diverse-lynx-hyderabad-secunderabad-3-to-7-years-050221502222,Naukri
Admin / Office Assistant,i5 soft solutions pvt ltd,Hyderabad,1-3 Yrs,30+ Days Ago,08/09/2022,The role involves: (Co-ordination required for UK & Malaysia) Good attention to detailG...,Not disclosed,https://www.naukri.com/job-listings-admin-office-assistant-i5-soft-solutions-pvt-ltd-hyderabad-secunderabad-1-to-3-years-050221501994,Naukri
Principal Software Engineer,calyx,Hyderabad/Secunderabad,10-20 Yrs,30+ Days Ago,08/09/2022,Job DescriptionJob Description10+ years of experience in software development in Azure ...,Not disclosed,https://www.naukri.com/job-listings-principal-software-engineer-heron-health-pvt-ltd-hyderabad-secunderabad-10-to-20-years-040722002224,Naukri
QA Tester/Test Lead ,DATAECONOMY,Hyderabad/Secunderabad,3-6 Yrs,30+ Days Ago,08/09/2022,Good communication skills to directly work with the end customers Understanding of the ...,Not disclosed,https://www.naukri.com/job-listings-qa-tester-test-lead-dataeconomy-hyderabad-secunderabad-3-to-6-years-040522500565,Naukri
SQL Developer,T & A Solutions,Hyderabad,3-8 Yrs,30+ Days Ago,08/09/2022,:- SQL Developer Location: Hyderabad Position: SQL Developer Exp: 3 4 Yrs CTC: 3 to 5L ...,Not disclosed,https://www.naukri.com/job-listings-sql-developer-t-a-solutions-hyderabad-secunderabad-3-to-8-years-040219500901,Naukri
Java Developer ,EiC Tech Sys,"Hyderabad, Mumbai, Chennai",4-9 Yrs,30+ Days Ago,08/09/2022,Linux: Basics commands required to deploy web application into Linux environmentHands-o...,Not disclosed,https://www.naukri.com/job-listings-java-developer-eic-tech-sys-mumbai-hyderabad-secunderabad-chennai-4-to-9-years-031220500310,Naukri
Software Engineer,Pyro Networks Pvt Ltd,Hyderabad,1-2 Yrs,30+ Days Ago,08/09/2022,Professional software engineering best practices for the full software development life...,Not disclosed,https://www.naukri.com/job-listings-software-engineer-pyro-networks-pvt-ltd-hyderabad-secunderabad-1-to-2-years-030720500221,Naukri
Machine Learning Expert,Wavelabs Technologies Private Limited,Hyderabad/Secunderabad,4-8 Yrs,30+ Days Ago,08/09/2022,Minimum 3 years of experience in Python Minimum 5 years of experience in exploratory da...,Not disclosed,https://www.naukri.com/job-listings-machine-learning-expert-wavelabs-technologies-private-limited-hyderabad-secunderabad-4-to-8-years-030621501457,Naukri
API Developer,Sahasya Global Solutions,Hyderabad,5-10 Yrs,30+ Days Ago,08/09/2022,API Developer 5+ year s experience of development in .NET Standard Framework and .NET C...,Not disclosed,https://www.naukri.com/job-listings-api-developer-sahasya-global-solutions-hyderabad-secunderabad-5-to-10-years-030619501462,Naukri
Tableau Developer,Diverse Lynx,Hyderabad,2-6 Yrs,30+ Days Ago,08/09/2022,"Job Description Developing, maintaining, and managing advanced reporting, analytics, da...",Not disclosed,https://www.naukri.com/job-listings-tableau-developer-diverse-lynx-hyderabad-secunderabad-2-to-6-years-030421500215,Naukri
Manager - Product Development,Quadratyx,Hyderabad,8-13 Yrs,30+ Days Ago,08/09/2022,"Have experience in mentoring and managing a team of Software Engineers, Database Engine...",Not disclosed,https://www.naukri.com/job-listings-manager-product-development-quadratyx-hyderabad-secunderabad-8-to-13-years-030221500102,Naukri
Product Manager - IT,Synergiz Global Services Private Limited,Hyderabad/Secunderabad,8-13 Yrs,30+ Days Ago,08/09/2022,Product Experience - from design to operations stage with experience in bug resolutions...,Not disclosed,https://www.naukri.com/job-listings-product-manager-it-synergiz-global-services-private-limited-hyderabad-secunderabad-8-to-13-years-021121500602,Naukri
Consultant,"E2open, LLC",Hyderabad/Secunderabad,4-8 Yrs,30+ Days Ago,08/09/2022,Having a prior experience on any SCM applications like JDA Demand or i2 SCP / MIO/O9 / ...,Not disclosed,https://www.naukri.com/job-listings-consultant-e2open-llc-hyderabad-secunderabad-4-to-8-years-020622500656,Naukri
Machine Learning Expert,Wavelabs,Hyderabad,4-8 Yrs,30+ Days Ago,08/09/2022,Minimum 3 years of experience in Python Minimum 5 years of experience in exploratory da...,Not disclosed,https://www.naukri.com/job-listings-machine-learning-expert-wavelabs-hyderabad-secunderabad-4-to-8-years-020421500535,Naukri
Principal ETL/BI Developer,Quality Matrix Inc,Hyderabad/Secunderabad,9-11 Yrs,30+ Days Ago,08/09/2022,Required Skills Effective communication skills and demonstrated experience working in a...,Not disclosed,https://www.naukri.com/job-listings-principal-etl-bi-developer-quality-matrix-inc-hyderabad-secunderabad-9-to-11-years-020222501370,Naukri
Design & Build  -  Technical Lead,MENORAH PERSONNEL MANAGEMENT INDIA PRIVATE LIMITED,Hyderabad,4-9 Yrs,30+ Days Ago,08/09/2022,Job Description : Linux OS Redhat JBoss FUSE system administration skills Shell scripti...,Not disclosed,https://www.naukri.com/job-listings-design-build-technical-lead-menorah-personnel-management-india-private-limited-hyderabad-secunderabad-4-to-9-years-020120501564,Naukri
RPA architect Level,Quality Thought Infosystems (India) Private Limited,Hyderabad,12-17 Yrs,30+ Days Ago,08/09/2022,Job Description: Provide architectural solutions/ designs to project execution teams fo...,Not disclosed,https://www.naukri.com/job-listings-rpa-architect-level-quality-thought-infosystems-india-private-limited-hyderabad-secunderabad-12-to-17-years-010719501629,Naukri
Social Media Marketing Consultant,Finite HR Consulting Private Limited,Hyderabad/Secunderabad,2-5 Yrs,30+ Days Ago,08/09/2022,Should have 2 years experience working inthe social media/ digital domain with a strong...,Not disclosed,https://www.naukri.com/job-listings-social-media-marketing-consultant-finite-hr-consulting-private-limited-hyderabad-secunderabad-2-to-5-years-010717508179,Naukri
Technical Skills-DW & BI-Hyperion,Squircle IT,Hyderabad,10-12 Yrs,30+ Days Ago,08/09/2022,Should have experience of deliverng at least 3 to 4 end to end implementation projects ...,Not disclosed,https://www.naukri.com/job-listings-technical-skills-dw-bi-hyperion-squircle-it-consulting-services-pvt-ltd-hyderabad-secunderabad-10-to-12-years-010717501707,Naukri
GCP Consultant,Emmess technologies private Limited,,,19 Days Ago,08/09/2022,JOB DESCRIPTION Designation: Consultant - AEGLocation: Bangalore/ Hyderabad /RemoteEduc...,Not disclosed,https://www.naukri.com/job-listings-gcp-consultant-emmess-technologies-private-limited-hyderabad-secunderabad-bangalore-bengaluru-5-to-7-years-210722003331,Naukri
AM / DM - Transmission Assembly ( Leading auto OEM ),BRAINHUNT CONSULTANTS PRIVATE LIMITED,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",4-9 Yrs,9 Days Ago,08/09/2022,BE-Mechanical / Production / Automobile with 4-9 yrs or Diploma- Mechanical with 8-15 y...,"7,00,000 - 12,00,000 PA.",https://www.naukri.com/job-listings-am-dm-transmission-assembly-leading-auto-oem-brainhunt-consultants-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-300722002954,Naukri
Database Architect - SQL Server,Hucon,"Hyderabad/Secunderabad, Kolkata, Mumbai, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",10-15 Yrs,30+ Days Ago,08/09/2022,SQL Server Database ArchitectExperience : 10 - 15 YrsJob Requirements :- Strong develop...,Not disclosed,https://www.naukri.com/job-listings-database-architect-sql-server-hucon-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-10-to-15-years-290622910610,Naukri
IDQ developer,SOT-SCIENCE OF TALENT ACQUISITION CONSULTING SERVI   CES (OPC) PRIVATE LIMITED,,,30+ Days Ago,08/09/2022,Roles and Responsibilities Desired Candidate Profile The Informatica Data Quality Devel...,Not disclosed,https://www.naukri.com/job-listings-idq-developer-sot-science-of-talent-acquisition-consulting-servi-ces-opc-private-limited-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-10-years-240622006361,Naukri
Ledger Standard,cliqhr.com,"Hyderabad/Secunderabad, Mumbai, Pune, Chennai, Bangalore/Bengaluru",4-9 Yrs,17 Days Ago,08/09/2022,Should have performed recon between reports from different systemsshould be ideal fit f...,Not disclosed,https://www.naukri.com/job-listings-ledger-standard-cliqhr-com-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-220722903213,Naukri
Urgent Opening For Technical Architecture For a Product base Company,Survik Software Pvt Ltd,"Hyderabad/Secunderabad, Kolkata, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",12-19 Yrs,17 Days Ago,08/09/2022,Experience in preparing test scripts and test cases to validate data and maintaining da...,Not disclosed,https://www.naukri.com/job-listings-urgent-opening-for-technical-architecture-for-a-product-base-company-survik-software-pvt-ltd-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-12-to-19-years-220722604391,Naukri
Urgent Opening For Technical Architecture For a Product base Company,Survik Software Pvt Ltd,"Hyderabad/Secunderabad, Kolkata, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",12-19 Yrs,17 Days Ago,08/09/2022,Experience in preparing test scripts and test cases to validate data and maintaining da...,Not disclosed,https://www.naukri.com/job-listings-urgent-opening-for-technical-architecture-for-a-product-base-company-survik-software-pvt-ltd-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-12-to-19-years-220722004389,Naukri
Opportunity For Technical Recruiter,WENGER & WATSON BUSINESS SYSTEMS PRIVATE LIMITED,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",1-4 Yrs,20 Days Ago,08/09/2022,"Company Profile: We, at Wenger and Watson Inc, made our tryst with destiny in 2002. Sin...",Not disclosed,https://www.naukri.com/job-listings-opportunity-for-technical-recruiter-wenger-watson-business-systems-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-1-to-4-years-190722906410,Naukri
Retail Banking- Professional,cliqhr.com,"Hyderabad/Secunderabad, Mumbai, Pune, Chennai, Bangalore/Bengaluru",4-9 Yrs,20 Days Ago,08/09/2022,• Strong functional experience in Retail/Corporate banking• Strong Data Analysis experi...,Not disclosed,https://www.naukri.com/job-listings-retail-banking-professional-cliqhr-com-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-190722906140,Naukri
Regulatory Reporting Operation Professional,cliqhr.com,"Hyderabad/Secunderabad, Mumbai, Pune, Chennai, Bangalore/Bengaluru",4-9 Yrs,21 Days Ago,08/09/2022,Industry Certification as per client onboarding policiesShould have knowledge about Dat...,Not disclosed,https://www.naukri.com/job-listings-regulatory-reporting-operation-professional-cliqhr-com-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-180722911202,Naukri
Associate Vice President - Analytics,Huquo Consulting Pvt. Ltd,"Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",7-12 Yrs,21 Days Ago,08/09/2022,"Technical Skills : Required with experience at least of 2-8 years FICO Blaze, TRIAD, IB...",Not disclosed,https://www.naukri.com/job-listings-associate-vice-president-analytics-huquo-consulting-pvt-ltd-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-7-to-12-years-180722903870,Naukri
Andriod Mobile App Testing Engineer - M Level,Orcapod Consulting Services Private Limited,"Hyderabad/Secunderabad, Kolkata, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",8-13 Yrs,24 Days Ago,08/09/2022,Roles and Responsibilities Minimum 5 years of experience with Tool-assisted manual QA f...,Not disclosed,https://www.naukri.com/job-listings-andriod-mobile-app-testing-engineer-m-level-orcapod-consulting-services-private-limited-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-mumbai-all-areas-8-to-13-years-150722004293,Naukri
Tech M is Hiring Java Developers,Talent21 Management  Shared Services Pvt. ltd.,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8 Yrs,24 Days Ago,08/09/2022,"Hands-on with JAVA frameworks such as ThreadPoolExecutor, Object Pooling, Logging (Log4...",Not disclosed,https://www.naukri.com/job-listings-tech-m-is-hiring-java-developers-talent21-management-shared-services-pvt-ltd-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-150722003896,Naukri
MLops Engineer,Changeleaders Consulting Private Limited,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",5-10 Yrs,30+ Days Ago,08/09/2022,Experience creating micro services or scheduling ML models to run in batch as well as w...,Not disclosed,https://www.naukri.com/job-listings-mlops-engineer-changeleaders-consulting-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-150622603084,Naukri
Qa Tester,GigVistas(Part of INTELLIVISTA SOLUTIONS PVT. LTD),"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",3-5 Yrs,26 Days Ago,08/09/2022,Roles and Responsibilities . Immediate joiners are preferable. Below is the JD. 3+ year...,Not disclosed,https://www.naukri.com/job-listings-qa-tester-gigvistas-part-of-intellivista-solutions-pvt-ltd-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-3-to-5-years-130722005113,Naukri
Retail Store Manager,ROCH manpower consultants,"Hyderabad/Secunderabad, Lucknow, Jaipur, Coimbatore, Bangalore/Bengaluru",3-8 Yrs,5 Days Ago,08/09/2022,"As Store Manager you will be a leader responsible for maximizing customer service, Sale...","4,00,000 - 5,00,000 PA.",https://www.naukri.com/job-listings-retail-store-manager-roch-manpower-consultants-hyderabad-secunderabad-lucknow-jaipur-coimbatore-bangalore-bengaluru-3-to-8-years-130622002711,Naukri
Corporate Consultant - Government Consultation Firm,Primo Hiring,"Hyderabad/Secunderabad, Kolkata, Mumbai, Pune, Chennai, Bangalore/Bengaluru",1-5 Yrs,29 Days Ago,08/09/2022,Certification in consulting or field of expertise is an advantage 1+ years proven exper...,Not disclosed,https://www.naukri.com/job-listings-corporate-consultant-government-consultation-firm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-110722902589,Naukri
Leading Bank Hiring - Good CTC - With Less Notice Period,Buzzworks Business Services Pvt Ltd.,"Hyderabad/Secunderabad, Chennai, Coimbatore, Bangalore/Bengaluru",2-7 Yrs,28 Days Ago,08/09/2022,AMFI / EUIN and IRDAI Certified candidates Basic Requirements: Minimum 2-3 years of Sal...,"2,00,000 - 3,50,000 PA.",https://www.naukri.com/job-listings-leading-bank-hiring-good-ctc-with-less-notice-period-buzzworks-business-services-pvt-ltd-hyderabad-secunderabad-chennai-coimbatore-bangalore-bengaluru-2-to-7-years-110722004267,Naukri
Java Full Stack Developer,Diverse Lynx India Pvt. Ltd,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",5-10 Yrs,30+ Days Ago,08/09/2022,"Experience developing desktop and mobile applications As a Full Stack Developer, you sh...","6,00,000 - 11,00,000 PA.",https://www.naukri.com/job-listings-java-full-stack-developer-diverse-lynx-india-pvt-ltd-hyderabad-secunderabad-chennai-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-080722010226,Naukri
AM / DM -  Production  ( Vehicle Assembly ) - Auto sector,BRAINHUNT CONSULTANTS PRIVATE LIMITED,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",4-9 Yrs,7 Days Ago,08/09/2022,BE-Mechanical / Production / Automobile with 4-9 yrs or Diploma- Mechanical with 8-15 y...,"7,00,000 - 12,00,000 PA.",https://www.naukri.com/job-listings-am-dm-production-vehicle-assembly-auto-sector-brainhunt-consultants-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-010822006651,Naukri
Manager - Credit Risk Strategy - Risk Analytics,Huquo Consulting Pvt. Ltd,"Hyderabad/Secunderabad, Kolkata, Mumbai, Pune, Delhi / NCR, Bangalore/Bengaluru",2-7 Yrs,30+ Days Ago,08/09/2022,Perform other related duties as required and assigned Excellent SQL or SAS skills: exte...,Not disclosed,https://www.naukri.com/job-listings-manager-credit-risk-strategy-risk-analytics-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-delhi-ncr-bangalore-bengaluru-2-to-7-years-300622909471,Naukri
Consulting Manager - Management Consulting Firm,Primo Hiring,"Hyderabad/Secunderabad, Kolkata, Mumbai, Pune, Ahmedabad, Chennai, Delhi / NCR, Bangalore/Bengaluru",4-9 Yrs,30+ Days Ago,08/09/2022,4+ years of proven experience in business consultation or strategy making and implement...,Not disclosed,https://www.naukri.com/job-listings-consulting-manager-management-consulting-firm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-chennai-delhi-ncr-bangalore-bengaluru-4-to-9-years-300622904045,Naukri
Engagement Manager - Corporate Governance Firm,Primo Hiring,"Hyderabad/Secunderabad, Kolkata, Mumbai, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",3-8 Yrs,30+ Days Ago,08/09/2022,Business administration degree is a must 3+ proven experience in your field of expertise,Not disclosed,https://www.naukri.com/job-listings-engagement-manager-corporate-governance-firm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-3-to-8-years-300622902825,Naukri
MYSQL Professional,TRH Consultancy Services,"Hyderabad/Secunderabad, Mumbai, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru",7-12 Yrs,30+ Days Ago,08/09/2022,"Qualification: Any GraduationExperience with source code control system (SVN / GIT), co...",Not disclosed,https://www.naukri.com/job-listings-mysql-professional-trh-consultancy-services-mumbai-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-7-to-12-years-280622913101,Naukri
SAP MDM + SAP Info Steward,TRH Consultancy Services,"Hyderabad/Secunderabad, Kolkata, Mumbai, Nagpur, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR",5-10 Yrs,30+ Days Ago,08/09/2022,1. Minimum 6 months experience with SAP ECC Material Master or Customer Master.2. 3+ ye...,Not disclosed,https://www.naukri.com/job-listings-sap-mdm-sap-info-steward-trh-consultancy-services-kolkata-mumbai-nagpur-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-ncr-5-to-10-years-280622912869,Naukri
